"drw_no";"drwt_no1";"drwt_no2";"drwt_no3";"drwt_no4";"drwt_no5";"drwt_no6";"bnus_no";"win_1_money";"win_1_count";"win_2_money";"win_2_count"
1;10;23;29;33;37;40;16;0;0;143934100;1
2;9;13;21;25;32;42;2;2002006800;1;94866800;2
3;11;16;19;21;27;31;30;2000000000;1;0;0
4;14;27;30;31;40;42;2;0;0;211191200;1
5;16;24;29;40;41;42;3;0;0;0;0
6;14;15;26;27;40;42;34;6574451700;1;196297600;3
7;2;9;16;25;26;40;42;0;0;48165000;9
8;8;19;25;34;37;39;9;0;0;131555000;6
9;2;4;16;17;36;39;14;0;0;769456500;4
10;9;25;30;33;41;44;6;6430437900;13;40813400;236
11;1;7;36;37;41;42;14;4780152300;5;362132700;11
12;2;11;21;25;39;45;44;1348845700;12;99914400;27
13;22;23;25;37;38;42;26;0;0;433309300;6
14;2;6;12;31;33;40;15;9375048300;4;130363400;28
15;3;4;16;30;31;37;13;17014245000;1;177231700;16
16;6;7;24;37;38;40;33;4377146100;4;243174700;12
17;3;4;9;17;32;37;1;5349491200;3;297193900;9
18;3;12;13;19;32;35;29;0;0;175017300;15
19;6;30;38;39;40;43;26;40722959400;1;297278500;14
20;10;14;18;20;23;30;41;19352212800;1;230383400;14
21;6;12;17;18;31;32;21;797475400;23;117576500;26
22;4;5;6;8;17;39;25;4552194900;4;94837300;32
23;5;13;17;18;33;42;44;4317947700;4;125157900;23
24;7;8;27;29;36;43;6;0;0;176023700;18
25;2;4;21;26;43;44;16;24227745300;2;175267400;28
26;4;5;7;18;20;25;31;3495069900;5;74680900;39
27;1;20;26;28;37;43;27;9543982500;2;198832900;16
28;9;18;23;25;35;37;1;1700361100;10;128815200;22
29;1;5;13;34;39;40;11;3552594000;5;174146700;17
30;8;17;20;35;36;44;4;8728555500;2;132250800;22
31;7;9;18;23;28;35;32;8106672900;2;93180100;29
32;6;14;19;25;34;44;11;1634528300;10;55596200;49
33;4;7;32;33;40;41;9;14903517600;1;60583400;41
34;9;26;35;37;40;42;2;3056918000;5;56609500;45
35;2;3;11;26;37;43;39;5054598200;3;105304100;24
36;1;10;23;26;28;40;31;16014475800;1;140477800;19
37;7;27;30;33;35;37;42;4985999400;3;124649900;20
38;16;17;22;30;37;43;36;5374866400;3;149301800;18
39;6;7;13;15;21;43;8;2623748800;6;104949900;25
40;7;13;18;19;25;26;6;1147652400;13;56513100;44
41;13;20;23;35;38;43;34;0;0;109404000;21
42;17;18;19;21;23;32;1;6899280100;6;131479800;35
43;6;31;35;38;39;44;1;17749630800;1;140870000;21
44;3;11;21;30;38;45;39;3362155800;5;121817200;23
45;1;10;20;27;33;35;17;8356417800;2;103165600;27
46;8;13;15;23;31;38;39;5327758800;3;68304600;39
